origin,destination,route,date,day_of_week,month,airline,duration,duration_min,from_time,to_time,stops_raw,num_stops,cabin_class,base_price,tax,total_cost,fare_1_price,fare_2_price,best_provider_name,best_provider_price,savings_vs_best,budget_level,affordability_score,is_outlier
CAI,PAR,CAI → PAR,2026-05-25,Monday,May,Transavia France,5h 00m,300,3:35 pm,7:35 pm,nonstop,0,Economy,311,46.65,357.65,311,311.0,eDreams,311.0,0.0,Medium ($200–$500),2.796,False
CAI,PAR,CAI → PAR,2026-05-25,Monday,May,Ajet,9h 55m,595,2:40 am,11:35 am,1 stop,1,Economy,303,45.45,348.45,190,190.0,Kiwi.com,190.0,113.0,Medium ($200–$500),2.8699,False
CAI,PAR,CAI → PAR,2026-05-25,Monday,May,Egyptair,4h 40m,280,10:45 am,2:25 pm,nonstop,0,Economy,411,61.65,472.65,411,465.0,eDreams,411.0,0.0,Medium ($200–$500),2.1157,False
CAI,PAR,CAI → PAR,2026-05-25,Monday,May,Air France,4h 40m,280,4:10 am,7:50 am,nonstop,0,Light,458,68.7,526.7,458,526.0,Air France,458.0,0.0,High (> $500),1.8986,False
CAI,PAR,CAI → PAR,2026-05-25,Monday,May,ITA Airways,7h 00m,420,4:45 am,10:45 am,1 stop,1,Economy,314,47.1,361.1,314,340.0,eDreams,314.0,0.0,Medium ($200–$500),2.7693,False
PAR,CAI,PAR → CAI,2026-05-20,Wednesday,May,Egyptair,4h 20m,260,4:00 pm,9:20 pm,nonstop,0,Economy,461,69.15,530.15,461,498.0,Booking.com,461.0,0.0,High (> $500),1.8863,False
PAR,CAI,PAR → CAI,2026-05-20,Wednesday,May,"easyJet, Air Cairo",22h 45m,1365,7:15 am,"7:00 am
+1",1 stop,1,Light + Economy,259,38.85,297.85,259,259.0,Kiwi.com,259.0,0.0,Medium ($200–$500),3.3574,False
PAR,CAI,PAR → CAI,2026-05-20,Wednesday,May,Air France,4h 20m,260,8:50 pm,"2:10 am
+1",nonstop,0,Light,1194,179.1,1373.1,1194,1273.0,Air France,1194.0,0.0,High (> $500),0.7283,True
PAR,CAI,PAR → CAI,2026-05-20,Wednesday,May,SWISS,6h 30m,390,9:45 am,5:15 pm,1 stop,1,Economy Light,450,67.5,517.5,450,461.0,Expedia,450.0,0.0,High (> $500),1.9324,False
PAR,CAI,PAR → CAI,2026-05-20,Wednesday,May,ITA Airways,7h 00m,420,6:15 pm,"2:15 am
+1",1 stop,1,Economy Light,440,66.0,506.0,440,467.0,ITA Airways,440.0,0.0,High (> $500),1.9763,False
PAR,CAI,PAR → CAI,2026-05-25,Monday,May,Transavia France,4h 40m,280,9:00 am,2:40 pm,nonstop,0,Economy,470,70.5,540.5,470,470.0,Transavia,470.0,0.0,High (> $500),1.8501,False
PAR,CAI,PAR → CAI,2026-05-25,Monday,May,Multiple airlines,30h 10m,1810,9:15 am,"4:25 pm
+1",2 stops,2,Economy,188,28.2,216.2,188,188.0,Kiwi.com,188.0,0.0,Medium ($200–$500),4.6253,False
PAR,CAI,PAR → CAI,2026-05-25,Monday,May,Egyptair,4h 20m,260,4:00 pm,9:20 pm,nonstop,0,Economy,517,77.55,594.55,517,636.0,Kiwi.com,517.0,0.0,High (> $500),1.6819,False
PAR,CAI,PAR → CAI,2026-05-25,Monday,May,Austrian Airlines,7h 40m,460,7:05 am,3:45 pm,1 stop,1,Economy,329,49.35,378.35,322,322.0,Booking.com,322.0,7.0,Medium ($200–$500),2.6431,False
PAR,CAI,PAR → CAI,2026-05-25,Monday,May,Lufthansa,7h 20m,440,6:45 pm,"3:05 am
+1",1 stop,1,Economy,330,49.5,379.5,329,390.0,eDreams,329.0,1.0,Medium ($200–$500),2.635,False
