origin,destination,date,flight_name,airplane_name,from_time,to_time,stops,duration,cabin,price
MIL,CAI,2026-05-05,Lufthansa,,2:40 pm,"2:15 am
+1",2 stops,10h 35m,Economy Basic,756.0
CAI,ASW,2026-05-05,Egyptair,,11:20 pm,"12:40 am
+1",nonstop,1h 20m,Economy Cabin,229.0
CAI,ASW,2026-05-05,Egyptair,,7:25 pm,8:45 pm,nonstop,1h 20m,Economy Cabin,238.0
ASW,CAI,2026-05-05,Egyptair,,3:45 pm,5:10 pm,nonstop,1h 25m,Economy Cabin,229.0
ASW,CAI,2026-05-05,Egyptair,,9:25 pm,10:45 pm,nonstop,1h 20m,Economy Cabin,238.0
CAI,HRG,2026-05-05,Air Cairo,,8:45 pm,10:15 pm,nonstop,1h 30m,Economy Cabin,104.0
CAI,HRG,2026-05-05,Air Cairo,,8:50 pm,9:50 pm,nonstop,1h 00m,Economy Cabin,124.0
CAI,HRG,2026-05-05,Egyptair,,8:50 pm,9:50 pm,nonstop,1h 00m,Economy Cabin,186.0
CAI,HRG,2026-05-05,Air Cairo,,11:15 am,12:45 pm,nonstop,1h 30m,Economy Cabin,112.0
HRG,CAI,2026-05-05,Air Cairo,,11:00 pm,"12:30 am
+1",nonstop,1h 30m,Economy Cabin,106.0
HRG,CAI,2026-05-05,Air Cairo,,6:15 pm,7:45 pm,nonstop,1h 30m,Economy Cabin,118.0
HRG,CAI,2026-05-05,Air Cairo,,10:30 pm,11:40 pm,nonstop,1h 10m,Economy Cabin,124.0
HRG,CAI,2026-05-05,Egyptair,,10:30 pm,11:40 pm,nonstop,1h 10m,Economy Cabin,186.0
